[16/02/2022 23:33:11] NOTIFY | Tabelle caricate con successo
[16/02/2022 23:33:11] NOTIFY | Utente caricato con successo
[16/02/2022 23:50:11] NOTIFY | Programma avviato con successo
[16/02/2022 23:50:11] NOTIFY | Impianti caricati con successo
[16/02/2022 23:50:11] NOTIFY | Tabelle caricate con successo
[16/02/2022 23:50:11] NOTIFY | Utente caricato con successo
[16/02/2022 23:50:17] NOTIFY | Ecco la lista degli impianti non funzionanti:
/////////////////////////////////////////////////////////////////////////////////////////////
/// [Gimigliano  192.168.1.1 Id: 1  OFFLINE  Errore: Connessione non riuscita]
/// [Gagliano  192.168.1.10 Id: 2  OFFLINE  Errore: Connessione non riuscita]
/// [Catanzaro lido  10.0.0.7 Id: 3  OFFLINE  Errore: Connessione non riuscita]
/// [Iphone 13 Pro  172.20.10.2 Id: 4  OFFLINE  Errore: Connessione non riuscita]
/// [Primo nodo  10.0.0.15 Id: 5  OFFLINE  Errore: Connessione non riuscita]
/// [Primo nodo  192.168.1.12 Id: 7  OFFLINE  Errore: Connessione non riuscita]
/// [Secondo nodo  192.168.1.15 Id: 8  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
[16/02/2022 23:50:58] NOTIFY | Checker terminati
[16/02/2022 23:50:58] NOTIFY | Mail terminato
[16/02/2022 23:50:58] NOTIFY | UpdateTable terminato
[16/02/2022 23:50:58] NOTIFY | Programma terminato
[16/02/2022 23:58:08] NOTIFY | Impianti caricati con successo
[16/02/2022 23:58:08] NOTIFY | Tabelle caricate con successo
[16/02/2022 23:58:08] NOTIFY | Programma avviato con successo
[16/02/2022 23:58:14] NOTIFY | Ecco la lista degli impianti non funzionanti:
/////////////////////////////////////////////////////////////////////////////////////////////
/// [Secondo nodo  192.168.1.15 Id: 8  OFFLINE  Errore: Connessione non riuscita]
////////////////////////////////////////////////////////////////////////////////////////////
